epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,251.949,0.40312,0.93383,0.99801,0.1944,0.0670302,0.000333028,0.000333028
2,482.937,0.25209,0.93682,0.99851,0.22201,0.0340295,0.000665711,0.000665711
3,708.442,0.23886,0.95224,0.9995,0.15286,0.00102629,0.000995793,0.000995793
4,933.012,0.18922,0.95124,0.99851,0.19992,0.000991232,0.000991232,0.000991232
5,1156.9,0.14096,0.95274,0.99701,0.18843,0.000984449,0.000984449,0.000984449
6,1380.35,0.12165,0.95622,0.99851,0.1803,0.000975773,0.000975773,0.000975773
7,1604.87,0.11093,0.95572,0.99652,0.18834,0.000965239,0.000965239,0.000965239
8,1828.34,0.09976,0.95473,0.99751,0.23083,0.000952889,0.000952889,0.000952889
9,2050.81,0.09494,0.95871,0.99453,0.19959,0.000938772,0.000938772,0.000938772
10,2273.63,0.08945,0.96269,0.99652,0.17424,0.000922942,0.000922942,0.000922942
11,2496.55,0.08482,0.9592,0.99453,0.18704,0.000905463,0.000905463,0.000905463
12,2719.07,0.07513,0.96169,0.999,0.19384,0.000886404,0.000886404,0.000886404
13,2941.81,0.07411,0.96269,0.99751,0.16402,0.000865839,0.000865839,0.000865839
14,3164.9,0.06002,0.96517,0.99851,0.17133,0.000843851,0.000843851,0.000843851
15,3389.02,0.06347,0.96866,0.99801,0.17139,0.000820525,0.000820525,0.000820525
16,3613.38,0.059,0.96468,0.99701,0.19479,0.000795954,0.000795954,0.000795954
17,3850.77,0.05198,0.96617,0.99652,0.19078,0.000770234,0.000770234,0.000770234
18,4097.5,0.04933,0.96617,0.99552,0.1847,0.000743468,0.000743468,0.000743468
19,4344.5,0.04663,0.96866,0.99552,0.16722,0.000715761,0.000715761,0.000715761
20,4591.9,0.03888,0.97164,0.99602,0.1622,0.000687222,0.000687222,0.000687222
21,4840.06,0.04111,0.96766,0.99652,0.17965,0.000657963,0.000657963,0.000657963
22,5086.72,0.03759,0.96617,0.99701,0.19536,0.000628101,0.000628101,0.000628101
23,5333.99,0.03323,0.96468,0.99751,0.18809,0.000597754,0.000597754,0.000597754
24,5581.13,0.03087,0.96517,0.99801,0.19306,0.00056704,0.00056704,0.00056704
25,5828.2,0.03115,0.96418,0.99851,0.18347,0.000536081,0.000536081,0.000536081
26,6074.75,0.02759,0.96368,0.99751,0.19959,0.000505,0.000505,0.000505
27,6320.65,0.02363,0.96517,0.99801,0.20663,0.000473919,0.000473919,0.000473919
28,6566.86,0.02174,0.96468,0.99751,0.20612,0.00044296,0.00044296,0.00044296
29,6812.93,0.01958,0.96617,0.99751,0.20112,0.000412246,0.000412246,0.000412246
30,7059.14,0.01837,0.96617,0.99751,0.20145,0.000381899,0.000381899,0.000381899
