epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,342.391,0.77992,0.96418,0.99851,0.11872,0.00802091,1.99909e-05,1.99909e-05
2,664.581,0.15306,0.96816,0.9995,0.10245,0.0060409,3.9981e-05,3.9981e-05
3,987.031,0.07743,0.97065,0.999,0.0928,0.00406085,5.99317e-05,5.99317e-05
4,1304.37,0.04948,0.97512,0.99851,0.09215,0.00208073,7.98134e-05,7.98134e-05
5,1618.5,0.03897,0.97214,0.999,0.09426,0.000100512,9.95967e-05,9.95967e-05
6,1925.72,0.03032,0.97015,0.999,0.10702,9.93845e-05,9.93845e-05,9.93845e-05
7,2230.86,0.02562,0.97711,1,0.08948,9.91145e-05,9.91145e-05,9.91145e-05
8,2537.16,0.02263,0.97612,1,0.09748,9.8796e-05,9.8796e-05,9.8796e-05
9,2834.05,0.01846,0.97662,0.99851,0.10737,9.84293e-05,9.84293e-05,9.84293e-05
10,3139.36,0.01968,0.97612,0.9995,0.10026,9.80149e-05,9.80149e-05,9.80149e-05
11,3446.48,0.01534,0.97164,0.999,0.12214,9.75531e-05,9.75531e-05,9.75531e-05
12,3754.7,0.01468,0.97463,0.99851,0.13108,9.70443e-05,9.70443e-05,9.70443e-05
13,4058.21,0.01699,0.97214,0.99801,0.11801,9.64892e-05,9.64892e-05,9.64892e-05
14,4362.94,0.0116,0.97264,0.999,0.12525,9.58881e-05,9.58881e-05,9.58881e-05
15,4671.04,0.0121,0.97463,0.99801,0.11836,9.52418e-05,9.52418e-05,9.52418e-05
16,4976.78,0.01331,0.97811,0.999,0.11348,9.45509e-05,9.45509e-05,9.45509e-05
17,5278.53,0.01162,0.97612,0.99851,0.12197,9.3816e-05,9.3816e-05,9.3816e-05
18,5581.55,0.01234,0.97861,0.99851,0.11644,9.30378e-05,9.30378e-05,9.30378e-05
19,5892.85,0.01118,0.9791,0.999,0.10936,9.22172e-05,9.22172e-05,9.22172e-05
20,6200.48,0.01033,0.9801,0.99851,0.11395,9.13549e-05,9.13549e-05,9.13549e-05
21,6508.02,0.00878,0.9791,0.99801,0.10771,9.04518e-05,9.04518e-05,9.04518e-05
22,6813.32,0.00987,0.9791,0.999,0.10675,8.95088e-05,8.95088e-05,8.95088e-05
23,7121.91,0.00721,0.9796,0.99851,0.10971,8.85268e-05,8.85268e-05,8.85268e-05
24,7427.47,0.00867,0.97811,0.999,0.11167,8.75068e-05,8.75068e-05,8.75068e-05
25,7726.71,0.00679,0.97811,0.999,0.11524,8.64498e-05,8.64498e-05,8.64498e-05
26,8019.08,0.00871,0.97861,0.99851,0.11691,8.53568e-05,8.53568e-05,8.53568e-05
27,8311.18,0.00735,0.9806,0.99801,0.1184,8.42289e-05,8.42289e-05,8.42289e-05
28,8605.26,0.00986,0.9806,0.99801,0.11811,8.30673e-05,8.30673e-05,8.30673e-05
29,8898.9,0.00548,0.9801,0.99851,0.11748,8.1873e-05,8.1873e-05,8.1873e-05
30,9193.35,0.00658,0.98159,0.99851,0.11732,8.06473e-05,8.06473e-05,8.06473e-05
31,9485.64,0.00739,0.9796,0.99851,0.11651,7.93913e-05,7.93913e-05,7.93913e-05
32,9778.58,0.00654,0.9801,0.99851,0.11581,7.81064e-05,7.81064e-05,7.81064e-05
33,10070.9,0.00559,0.9806,0.99851,0.11646,7.67937e-05,7.67937e-05,7.67937e-05
34,10356.7,0.00516,0.9801,0.99851,0.11685,7.54545e-05,7.54545e-05,7.54545e-05
35,10637,0.0061,0.9801,0.999,0.11615,7.40903e-05,7.40903e-05,7.40903e-05
36,10917.9,0.00491,0.9796,0.999,0.11635,7.27023e-05,7.27023e-05,7.27023e-05
37,11198.7,0.00455,0.9806,0.999,0.11711,7.12918e-05,7.12918e-05,7.12918e-05
38,11479.2,0.00517,0.9801,0.9995,0.11766,6.98604e-05,6.98604e-05,6.98604e-05
39,11760,0.00399,0.9801,0.9995,0.11825,6.84094e-05,6.84094e-05,6.84094e-05
40,12040.3,0.00331,0.9801,0.9995,0.11969,6.69402e-05,6.69402e-05,6.69402e-05
41,12319.7,0.00354,0.9796,0.9995,0.12368,6.54543e-05,6.54543e-05,6.54543e-05
42,12600.2,0.00457,0.9796,0.9995,0.12442,6.39532e-05,6.39532e-05,6.39532e-05
43,12881.3,0.00319,0.9796,0.9995,0.12502,6.24383e-05,6.24383e-05,6.24383e-05
44,13162.2,0.00476,0.9796,0.9995,0.12699,6.09111e-05,6.09111e-05,6.09111e-05
45,13442.3,0.00327,0.9796,0.9995,0.12838,5.93731e-05,5.93731e-05,5.93731e-05
