epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,315.296,1.25236,0.91791,0.99502,0.26593,0.00801091,9.99543e-06,9.99543e-06
2,618.948,0.56354,0.95473,0.99801,0.13931,0.00602091,1.99932e-05,1.99932e-05
3,917.06,0.4144,0.9607,0.99801,0.11557,0.0040309,2.99823e-05,2.99823e-05
4,1204.88,0.34063,0.96915,0.999,0.10412,0.00204087,3.9956e-05,3.9956e-05
5,1492.88,0.28772,0.97015,0.99801,0.10057,5.08227e-05,4.99078e-05,4.99078e-05
6,1787.22,0.24965,0.97313,0.9995,0.09302,4.98631e-05,4.98631e-05,4.98631e-05
7,2083.08,0.22384,0.97264,0.9995,0.08895,4.98029e-05,4.98029e-05,4.98029e-05
8,2378.07,0.20788,0.97214,0.99851,0.09307,4.97318e-05,4.97318e-05,4.97318e-05
9,2672.59,0.19001,0.97164,0.99851,0.10503,4.96499e-05,4.96499e-05,4.96499e-05
10,2968.7,0.17993,0.97214,0.999,0.10085,4.95572e-05,4.95572e-05,4.95572e-05
11,3264.12,0.16553,0.97313,0.999,0.09709,4.94537e-05,4.94537e-05,4.94537e-05
12,3559.94,0.16008,0.96965,0.999,0.10251,4.93395e-05,4.93395e-05,4.93395e-05
13,3855.32,0.15176,0.96965,0.999,0.09991,4.92147e-05,4.92147e-05,4.92147e-05
14,4150.59,0.14099,0.97313,0.999,0.10365,4.90792e-05,4.90792e-05,4.90792e-05
15,4445.5,0.13741,0.97164,0.9995,0.09895,4.89331e-05,4.89331e-05,4.89331e-05
16,4740.28,0.1315,0.97065,0.999,0.10406,4.87765e-05,4.87765e-05,4.87765e-05
17,5035.09,0.12922,0.96915,0.999,0.10876,4.86095e-05,4.86095e-05,4.86095e-05
18,5330.55,0.12436,0.96866,0.999,0.1098,4.84322e-05,4.84322e-05,4.84322e-05
19,5626.55,0.11683,0.97313,0.999,0.10032,4.82446e-05,4.82446e-05,4.82446e-05
20,5924.56,0.11974,0.97363,0.999,0.10718,4.80468e-05,4.80468e-05,4.80468e-05
21,6228.69,0.11745,0.97313,0.999,0.1109,4.78389e-05,4.78389e-05,4.78389e-05
22,6532.9,0.10927,0.97413,0.999,0.11048,4.76209e-05,4.76209e-05,4.76209e-05
23,6831.26,0.10398,0.97363,0.999,0.11335,4.73931e-05,4.73931e-05,4.73931e-05
24,7186.34,0.10299,0.97413,0.999,0.11531,4.71554e-05,4.71554e-05,4.71554e-05
