epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,414.674,1.49576,0.8796,0.99254,0.40651,0.00800691,5.99726e-06,5.99726e-06
2,810.797,0.79636,0.9398,0.99453,0.20779,0.00601291,1.19959e-05,1.19959e-05
3,1199.59,0.61153,0.95473,0.9995,0.14256,0.0040189,1.79894e-05,1.79894e-05
4,1584.78,0.51213,0.9602,0.99801,0.11544,0.00202489,2.39736e-05,2.39736e-05
5,1966.75,0.43883,0.96716,1,0.1053,3.08596e-05,2.99447e-05,2.99447e-05
6,2347.71,0.39649,0.96816,0.99851,0.1011,2.99178e-05,2.99178e-05,2.99178e-05
7,2728.73,0.3648,0.97164,0.9995,0.09887,2.98817e-05,2.98817e-05,2.98817e-05
8,3110.37,0.33773,0.96866,0.99801,0.1011,2.98391e-05,2.98391e-05,2.98391e-05
9,3491.9,0.3127,0.97015,0.999,0.10392,2.97899e-05,2.97899e-05,2.97899e-05
10,3874.73,0.29907,0.97164,0.99851,0.09462,2.97343e-05,2.97343e-05,2.97343e-05
11,4255.92,0.27377,0.97313,0.999,0.09393,2.96722e-05,2.96722e-05,2.96722e-05
12,4638.13,0.26725,0.97363,0.999,0.09276,2.96037e-05,2.96037e-05,2.96037e-05
13,5020.19,0.24976,0.97313,0.99851,0.08991,2.95288e-05,2.95288e-05,2.95288e-05
14,5401.92,0.24603,0.97363,0.99851,0.09556,2.94474e-05,2.94474e-05,2.94474e-05
15,5783.37,0.23782,0.97413,0.99851,0.08831,2.93598e-05,2.93598e-05,2.93598e-05
16,6165.79,0.22445,0.97463,0.99851,0.08853,2.92659e-05,2.92659e-05,2.92659e-05
17,6547.92,0.22268,0.97562,0.999,0.0896,2.91657e-05,2.91657e-05,2.91657e-05
18,6930.84,0.21531,0.97512,0.999,0.09468,2.90592e-05,2.90592e-05,2.90592e-05
19,7314.58,0.21348,0.97463,0.99851,0.09552,2.89467e-05,2.89467e-05,2.89467e-05
20,7712.29,0.20026,0.97264,0.999,0.10025,2.8828e-05,2.8828e-05,2.8828e-05
21,8096.51,0.19346,0.97264,0.999,0.1029,2.87032e-05,2.87032e-05,2.87032e-05
22,8481.95,0.18333,0.97214,0.999,0.10282,2.85724e-05,2.85724e-05,2.85724e-05
23,8867.59,0.19329,0.97313,0.999,0.10236,2.84357e-05,2.84357e-05,2.84357e-05
24,9251.13,0.18015,0.97264,0.99851,0.10254,2.82931e-05,2.82931e-05,2.82931e-05
25,9633.61,0.17895,0.97313,0.999,0.10369,2.81446e-05,2.81446e-05,2.81446e-05
26,10029.8,0.17317,0.97264,0.999,0.10412,2.79904e-05,2.79904e-05,2.79904e-05
27,10434.9,0.16587,0.97413,0.99851,0.10504,2.78305e-05,2.78305e-05,2.78305e-05
28,10827.5,0.173,0.97363,0.99851,0.10484,2.76649e-05,2.76649e-05,2.76649e-05
29,11226,0.1635,0.97363,0.99851,0.10479,2.74938e-05,2.74938e-05,2.74938e-05
30,11622,0.16503,0.97463,0.99851,0.10515,2.73173e-05,2.73173e-05,2.73173e-05
31,12007.8,0.16112,0.97463,0.999,0.10444,2.71353e-05,2.71353e-05,2.71353e-05
32,12417,0.15419,0.97463,0.99851,0.10426,2.6948e-05,2.6948e-05,2.6948e-05
33,12830.9,0.1549,0.97463,0.999,0.10482,2.67554e-05,2.67554e-05,2.67554e-05
34,13241.7,0.15512,0.97413,0.999,0.10498,2.65577e-05,2.65577e-05,2.65577e-05
35,13651.1,0.15433,0.97413,0.999,0.10444,2.6355e-05,2.6355e-05,2.6355e-05
36,14058.7,0.14726,0.97562,0.999,0.10373,2.61472e-05,2.61472e-05,2.61472e-05
37,14509.2,0.14775,0.97562,0.999,0.10291,2.59346e-05,2.59346e-05,2.59346e-05
38,14941.9,0.14407,0.97512,0.999,0.1027,2.57171e-05,2.57171e-05,2.57171e-05
39,15347.6,0.14572,0.97512,0.999,0.10187,2.5495e-05,2.5495e-05,2.5495e-05
40,15750,0.14194,0.97512,0.999,0.10201,2.52683e-05,2.52683e-05,2.52683e-05
41,16151.5,0.14453,0.97512,0.999,0.10255,2.5037e-05,2.5037e-05,2.5037e-05
42,16551.8,0.13779,0.97463,0.999,0.10355,2.48014e-05,2.48014e-05,2.48014e-05
43,16951.6,0.133,0.97363,0.999,0.10219,2.45614e-05,2.45614e-05,2.45614e-05
44,17352.5,0.13614,0.97363,0.999,0.10177,2.43173e-05,2.43173e-05,2.43173e-05
45,17749.3,0.13056,0.97264,0.999,0.10182,2.4069e-05,2.4069e-05,2.4069e-05
46,18146.7,0.13068,0.97264,0.999,0.10236,2.38168e-05,2.38168e-05,2.38168e-05
47,18543.7,0.12988,0.97313,0.999,0.10172,2.35608e-05,2.35608e-05,2.35608e-05
